city,osm_type,osm_id,name,address,phone,email,website
Tehran,node,3211613537,ابزار سعید,,+98 (21) 65960120,,
Tehran,node,7094247185,نانوایی,,,,
Tehran,node,7573139926,game center se7en,"خیابان شهید بهشتی بهشتی ۷ پلاک ۱۵, 15, شهریار باغستان نصیرآباد",,,Instagram.com/game_se7en
Tehran,node,8928426814,لوازم خانگي و مبلمان دريم لند,,,,
Tehran,node,9154273711,,,,,
Tehran,node,9910235246,موبایل شهر,,,,
Tehran,node,9972749556,اتو منصوریان,,+98 912 339 5084,,
Tehran,node,10891454305,هایپر مارکت من و تو,,,,
Tehran,node,10923918741,آکادمی زیبایی کژال مدیریت علی فرد,,,,
Tehran,node,11341124902,اتو سرویس یاس,"شهید یحیی سیدی, دهشاد بالا",09125260282,,
Tehran,node,11487026577,سوپرمارکت اللهیاری,"شهید چمران, ۱۲, صباشهر",,,
Tehran,node,11494085684,مجموعه چاپ امدادی,"نواب صفوی, نسیم شهر",02156781214,,
Tehran,node,11579794891,درب لوکس حمدالهی,,09356439372,,
Tehran,node,11579803800,فروشگاه مخزن و تانکر آب لشکری,,09126044002,,
Tehran,node,11602491420,تراشکاری صنعت روز,"شهریار-ادران, صباشهر",09122643616,,
Tehran,node,11602500023,دامداری نمونه کبیری,"شهریار-ادران, صباشهر",09126404763,,
Tehran,node,11630540459,قالب و خدمات فرز cnc لیلستانی,,09192719076,,
Tehran,node,11865689113,اتو گالری تختی,"قره گوزلی, نصیرآباد",09127696680,,
Tehran,node,12012146077,اتوگالری لکستان,,,,
Tehran,node,12033963679,الماس پلاسکو سیفی,,09123685792,,
Tehran,node,12078016836,اجاره جک و قالب اهون بر,,,,
Tehran,node,12195271169,فروشگاه غلامی ( پکیج و کولرگازی),"صیاد شیرازی, نسیم شهر",09198191128,,
Tehran,node,12320301870,سالن زیبایی آفرینا,,,,
Tehran,node,12350908655,بلوک سبک ماهان,شهریار,09356988858,,Blockmahan.com
Tehran,node,12467591042,مصالح ساختمانی و بلوک رمضانی,,09125773229,,
Tehran,node,12740806820,بتونریزی خاوری,"هزارستان 2, 4, باغستان",+989122961058,,https://www.paversblockmachines.com/manual-concrete-mixer.html
Tehran,node,12797363638,تولیدی الیاف آنا,,,,
Tehran,node,12866228828,موتور سازی رضا موتوری,"گلستان ۳۲, شهریار شهرک بهاران",۰۹۳۸۹۳۴۸۹۲۶,,
Tehran,node,12866644051,سوپرمارکت پیمان,,09108696259,,
Tehran,node,12955179163,هایپر تخفیفی چی چند,,+989128390180,,
Tehran,node,6884636439,باغ رستوران گندم,"مهستان, احمد اباد مستوفی جاده فیروز بهرام به گلدسته",+98 91 0695 6492,,
Tehran,node,9325434744,باغ رستوران بامیک,,,,
Tehran,node,9655177521,فیلمسازی حمزه نگاتیو,,,,
Tehran,node,9929174387,مبل زبردست,,,,
Tehran,node,10873402752,نمایشگاه ونمایندگی کامیون کاسپین خودرو( طاهرنژاد),شهید مدنی,۰۹۱۲۸۵۸۱۱۹۳,,
Tehran,node,11501465879,خشکبار میرزایی,"عظیم وند, اسلامشهر",09198981265,,
Tehran,node,11501465880,پخش شیشه بهنام,,,,
Tehran,node,11910946904,مبلمان طهران,,۰۹۱۲۶۶۴۰۷۹۶,,
Tehran,node,12101219818,فروشگاه کفش ولکا,"سینا افراسیابی, اسلامشهر",02156834302,,
Tehran,node,12118198710,فروشگاه پاپیون,,,,
Tehran,node,12128131902,رستوران برادران نیک جو,,,,
Tehran,node,12393555348,دَدَ بابا فتیری سنتی سراب,"شهید رجایی, اسلامشهر",,,
Tehran,node,12449863718,کفش پانیسام,"شهرداری, 2, اسلامشهر, 3316790022",00989124711513,,https://panisam.ir
Tehran,node,5011558322,اوستا روح الله.هیوندا,,,,
Tehran,node,5011558323,لوزام هیوندا خرازی,,,,
Tehran,node,5097402321,اسمان,"خیابان ۲۲ دانش جنوبی, 3",,,
Tehran,node,5137694008,بانک بستنی پرگاس,"Saeedi, Eslamshahr",,,
Tehran,node,6743589686,شهر مبل,,,,
Tehran,node,6743601086,شهر مبل,,,,
Tehran,node,6743679586,ایده آل سنتر,,,,
Tehran,node,7192854546,,,,,
Tehran,node,7192854547,,,,,
Tehran,node,7192854548,,,,,
