city,osm_type,osm_id,name,address,phone,email,website
Semnan,node,6373451637,سوپر مارکت علی پور,,,,
Semnan,node,6373452044,نانوایی احمدی,,,,
Semnan,node,11363924742,نانوایی سنگک,,,,
Semnan,node,11363924743,تعمیرگاه اتومبیل ایلخانی,,,,
Semnan,node,11363924762,رستوران امیران,,,,
Semnan,node,11366105625,تعمیرگاه اتومبیل مرادیان,,,,
Semnan,node,11368362371,کافه عمارت,,,,
Semnan,node,11368362372,نانوایی,,,,
Semnan,node,11368362374,برق خودرو کرابیه,,,,
Semnan,node,11368362375,برق خودرو احمدی,,,,
Semnan,node,11368362378,کافه بیلیارد فرامرز,,,,
Semnan,node,11368362379,نانوایی سید,,,,
Semnan,node,11368373628,خانه سنتی باقری,,,,
Semnan,node,11368373629,کافه پیپ,,,,
Semnan,node,11368388346,فروشگاه مواد غذایی لبخند,,,,
Semnan,node,11368409725,فروشگاه مواد قضایی کورش,,,,
Semnan,node,11368826161,فروشگاه مواد غذایی سامان,,,,
Semnan,node,11369538153,نانوایی,,,,
Semnan,node,11384191522,ساندویچی جواد,,,,
Semnan,node,11400103727,کافه تایم,,,,
Semnan,node,11413069068,عکاسی ایران زمین,,,,
Semnan,node,11413101454,تعویض روغن یوسفی,,,,
Semnan,node,11569919623,ابزار فروشی فرخ,,,,
Semnan,node,11569919624,ابزار فروشی,,,,
Semnan,node,4359715245,استراحتگاه منتظر قائم,,,,
Semnan,node,5160553223,پرورش ماهی قزل الای مومنی,امامزاده ذوالفقار,+989125311613,,
Semnan,node,5251439888,مجتمع پذیرایی منتظر المهدی,,,,
Semnan,node,6780264582,کافه جنگلی,,,,
Semnan,node,6855704985,,,,,
Semnan,node,7074512485,,,,,
Semnan,node,7243581172,اکبر جوجه,,,,
Semnan,node,7498532460,,,,,
Semnan,node,7498945488,آسانسور صداقت,"خیابان شهید رجایی, گرمسار",0912 332 2613,,
Semnan,node,8040311469,رستوران محبوب,گرمسار,+989192223677,,https://instagram.com/mahbobkitchen
Semnan,node,8496815586,کافه کوک,"خیابان نواب صفوی, گرمسار",+989366151945,,
Semnan,node,8786813384,کالاآنلاین,"شاهبداغ, 3, گرمسار, 3581999941",+98 23 3422 0702,kalaonlin.ir@gmail.com,https://kalaonlin.ir
Semnan,node,9888027153,سلف دانشکده,,,,
Semnan,node,9928561782,سالن زیبایی یاس سفید,,+982334206996,,
Semnan,node,10554170722,پیرایش میلاد,,,pirayeshmilad1991@gmail.com,
Semnan,node,11078124305,گلکده نیلوفر,,,,
Semnan,node,11607148569,کافه مورانو,خیابان شهید ریاحی ۲۰۰متر بالاتر از قلم چی,09399658030,,
Semnan,node,12064347906,لوازم اتومبیل امیری,,,,
Semnan,node,12492068454,رستوران اکبر جوجه,"آزادراه گرمسار - سمنان, گرمسار",09113750502,,
Semnan,node,12513810818,ویتامینه22,"کوچه اکبری, گرمسار",09397203272,,
